"","Code","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","AMPH",1,3.15e-05,3.15e-05,NA,NA,NA,3.15e-05,3.15e-05
"2","BIVL",49,0.0165024063193659,0.00490327585152829,0.00353917008638307,0.00938642793054011,0.0236183847081916,0.0002675,0.122685634546129
"3","CARD",21,0.000175948704668955,0.000175909528666754,3.04899247799152e-05,0.000112347836068167,0.000239549573269744,2.6646342046754e-05,0.000586383291871754
"4","CHIT",3,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05
"5","DOME",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"6","DROM",2,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05
"7","ECHN",3,0.000235606497552265,0.00025713279442011,2.67952071800002e-05,0.000120316026235034,0.000350896968869495,0.000182341428093223,0.00026734527014346
"8","FISH",8,0.00463945876167923,0.0011945,0.0023697499087419,-0.000964109342741646,0.0102430268661001,0.0011945,0.0188249348965399
"9","GAST",19,0.000807966865165994,0.000506568006378684,0.000131160939287462,0.000532407956998249,0.00108352577333374,0.000209165304509684,0.00246510757934268
"10","GLRH",28,0.00101009990995343,0.000891932088822336,0.000103623597549439,0.000797481850274024,0.00122271796963285,0.000497,0.0034545733603493
"11","HCOR",80,0.0122178694136977,0.00844033711096017,0.00178279985272818,0.00866929507203669,0.0157664437553588,0.002513,0.128845660026222
"12","MTHR",139,0.000168252651086813,0.0001395,2.29673801569471e-05,0.000122839168951387,0.00021366613322224,1e-05,0.00305254098944306
"13","OPHR",32,0.000151067517932785,1e-04,1.0848251760273e-05,0.000128942362597814,0.000173192673267755,1e-04,0.000264637291826936
"14","PAGR",16,0.000969133303424091,0.000936019971245247,0.000250892630204176,0.000434368320791102,0.00150389828605708,7.6758388845247e-05,0.00439025153249325
"15","PALN",2,9.8e-05,9.8e-05,0,9.8e-05,9.8e-05,9.8e-05,9.8e-05
"16","PLMN",1,0.0019578892506118,0.0019578892506118,NA,NA,NA,0.0019578892506118,0.0019578892506118
"17","POLY",87,0.00195265683811735,0.00201200866420171,0.000167206829319565,0.00162026066259621,0.00228505301363848,0.000137,0.00798463418847202
"18","SCOR",20,0.001623,0.001623,0,0.001623,0.001623,0.001623,0.001623
"19","SIPN",1,0.000337249951469682,0.000337249951469682,NA,NA,NA,0.000337249951469682,0.000337249951469682
"20","STOM",2,0.00107361030805254,0.00107361030805254,0.000440142556134,-0.00451893112328933,0.00666615173939441,0.000633467751918541,0.00151375286418654
"21","XNTH",10,0.000416,0.000416,0,0.000416,0.000416,0.000416,0.000416
